0;Labels
Sherbet (powder);['Category:All articles needing additional references', 'Category:All articles with unsourced statements', 'Category:All pages needing factual verification', 'Category:Articles containing Arabic-language text', 'Category:Articles containing Persian-language text', 'Category:Articles containing Turkish-language text', 'Category:Articles needing additional references from December 2018', 'Category:Articles needing additional references from October 2013', 'Category:Articles with unsourced statements from February 2019', 'Category:Articles with unsourced statements from July 2010', 'Category:British confectionery', 'Category:CS1 Dutch-language sources (nl)', 'Category:Candy', 'Category:Use dmy dates from April 2011', 'Category:Wikipedia articles needing clarification from November 2009', 'Category:Wikipedia articles needing factual verification from February 2019']
Shonan Gold;"['Category:All articles with dead external links', 'Category:Articles containing Japanese-language text', ""Category:Articles with 'species' microformats"", 'Category:Articles with dead external links from May 2018', 'Category:Articles with dead external links from May 2019', 'Category:Articles with permanently dead external links', 'Category:CS1 Japanese-language sources (ja)', 'Category:CS1 errors: dates', 'Category:CS1 uses Japanese-language script (ja)', 'Category:Citrus hybrids', 'Category:Food plant cultivars', 'Category:Fruits originating in Asia', 'Category:Japanese fruit', 'Category:Webarchive template wayback links']"
Showbread;['Category:Articles containing Hebrew-language text', 'Category:Jewish breads', 'Category:Jewish ceremonial food and drink', 'Category:Jewish sacrificial law', 'Category:Positive Mitzvoth', 'Category:Wikipedia articles incorporating a citation from the 1906 Jewish Encyclopedia', 'Category:Wikipedia articles incorporating a citation from the 1906 Jewish Encyclopedia with no article parameter', 'Category:Wikipedia articles incorporating text from the 1906 Jewish Encyclopedia']
Shrimp;['Category:All articles with dead external links', 'Category:Articles containing Middle English-language text', 'Category:Articles containing Middle Low German-language text', 'Category:Articles containing Old Norse-language text', 'Category:Articles with dead external links from April 2018', 'Category:Articles with dead external links from November 2018', 'Category:Articles with permanently dead external links', 'Category:Articles with short description', 'Category:CS1 maint: Multiple names: authors list', 'Category:CS1: long volume value', 'Category:Commercial crustaceans', 'Category:Commons category link is locally defined', 'Category:Commons category link is on Wikidata using P373', 'Category:Decapods', 'Category:Edible crustaceans', 'Category:Pages using citations with format and no URL', 'Category:Seafood', 'Category:Webarchive template wayback links', 'Category:Wikipedia articles incorporating citation to the NSRW', 'Category:Wikipedia articles incorporating citation to the NSRW with an wstitle parameter', 'Category:Wikipedia articles with GND identifiers', 'Category:Wikipedia articles with LCCN identifiers', 'Category:Wikipedia articles with NDL identifiers']
Sierra Nevada Brewing Company;['Category:1980 establishments in California', 'Category:American beer brands', 'Category:American companies established in 1980', 'Category:Beer brewing companies based in California', 'Category:Companies based in Chico, California', 'Category:Coordinates not on Wikidata', 'Category:Food and drink companies established in 1980', 'Category:Pages using deprecated image syntax', 'Category:Privately held companies of the United States']
Singani;['Category:All articles with unsourced statements', 'Category:Articles with unsourced statements from February 2016', 'Category:Articles with unsourced statements from May 2015', 'Category:Bolivian alcoholic drinks', 'Category:Bolivian cuisine', 'Category:CS1 Italian-language sources (it)', 'Category:CS1 Spanish-language sources (es)', 'Category:CS1: long volume value', 'Category:Tarija']
Single malt whisky;['Category:All articles lacking in-text citations', 'Category:All articles needing additional references', 'Category:All articles with unsourced statements', 'Category:Articles lacking in-text citations from May 2010', 'Category:Articles needing additional references from December 2011', 'Category:Articles needing additional references from October 2017', 'Category:Articles with unsourced statements from May 2012', 'Category:Malt whisky', 'Category:Webarchive template wayback links']
Smallmouth bass;"['Category:All articles with unsourced statements', ""Category:Articles with 'species' microformats"", 'Category:Articles with unsourced statements from May 2012', 'Category:CS1 maint: Archived copy as title', 'Category:Fauna of the Northeastern United States', 'Category:Fauna of the Southeastern United States', 'Category:Fish described in 1802', 'Category:Fish of the Eastern United States', 'Category:Fish of the Great Lakes', 'Category:Freshwater fish of North America', 'Category:Freshwater fish of the Southeastern United States', 'Category:Freshwater fish of the United States', 'Category:IUCN Red List least concern species', 'Category:Micropterus', 'Category:Taxa named by Bernard Germain de Lacépède', 'Category:Webarchive template wayback links']"
Sociedade Agrícola Pátria e Trabalho;['Category:1970s disestablishments in Portuguese Timor', 'Category:CS1 Portuguese-language sources (pt)', 'Category:CS1 maint: Unrecognized language', 'Category:Defunct companies of East Timor', 'Category:Defunct companies of Portugal', 'Category:East Timor–Portugal relations', 'Category:EngvarB from November 2018', 'Category:Food and drink companies established in 1897', 'Category:Portuguese Timor', 'Category:Use dmy dates from November 2018']
Sodium chloride;['Category:Alkali metal chlorides', 'Category:Articles containing unverified chemical infoboxes', 'Category:Articles with changed EBI identifier', 'Category:Articles with short description', 'Category:Chemical articles having a data page', 'Category:Chlorides', 'Category:ECHA InfoCard ID from Wikidata', 'Category:Household chemicals', 'Category:Metal halides', 'Category:Sodium compounds', 'Category:Sodium minerals', 'Category:Use dmy dates from November 2016', 'Category:Wikipedia articles incorporating text from the United States Geological Survey', 'Category:Wikipedia articles needing clarification from October 2016', 'Category:Wikipedia articles with GND identifiers']
Soft drink;['Category:All NPOV disputes', 'Category:All Wikipedia articles in need of updating', 'Category:All articles to be merged', 'Category:All articles with dead external links', 'Category:Articles to be merged from January 2019', 'Category:Articles with dead external links from December 2017', 'Category:Articles with permanently dead external links', 'Category:Articles with short description', 'Category:CS1 maint: BOT: original-url status unknown', 'Category:CS1 maint: Multiple names: authors list', 'Category:CS1: long volume value', 'Category:Convenience foods', 'Category:NPOV disputes from May 2016', 'Category:Portal templates with all redlinked portals', 'Category:Soft drinks', 'Category:Use mdy dates from March 2018', 'Category:Webarchive template warnings', 'Category:Webarchive template wayback links', 'Category:Wikipedia articles in need of updating from March 2019']
Sonic Drive-In;['Category:1953 establishments in Oklahoma', 'Category:2018 mergers and acquisitions', 'Category:Commons category link from Wikidata', 'Category:Companies based in Oklahoma City', 'Category:Companies formerly listed on NASDAQ', 'Category:Drive-in restaurants', 'Category:Fast-food chains of the United States', 'Category:Fast-food franchises', 'Category:Fast-food hamburger restaurants', 'Category:Hot dog restaurants', 'Category:Multinational food companies', 'Category:Official website different in Wikidata and Wikipedia', 'Category:Pages with URL errors', 'Category:Restaurant chains in the United States', 'Category:Restaurants established in 1953', 'Category:Restaurants in Oklahoma', 'Category:Use mdy dates from March 2015', 'Category:Wikipedia articles needing clarification from July 2012']
Soul food;['Category:African-American culture', 'Category:African-American history', 'Category:All articles needing additional references', 'Category:All articles with unsourced statements', 'Category:American cuisine', 'Category:Articles needing POV-check from December 2017', 'Category:Articles needing additional references from November 2017', 'Category:Articles with Curlie links', 'Category:Articles with unsourced statements from April 2018', 'Category:Articles with unsourced statements from October 2018', 'Category:CS1: long volume value', 'Category:Commons category link from Wikidata', 'Category:Cuisine of the Southern United States', 'Category:Native American cuisine of the Southeastern Woodlands', 'Category:Native American culture', 'Category:Native American history', 'Category:Pages with DOIs inactive as of 2019', 'Category:Portal templates with redlinked portals', 'Category:Soul food']
South Beach Diet;['Category:American inventions', 'Category:Articles with short description', 'Category:Brand name diet products', 'Category:Dieting books', 'Category:Fad diets', 'Category:Rodale, Inc.', 'Category:Weight loss companies']
Soy milk;['Category:All articles needing additional references', 'Category:Ancient dishes', 'Category:Articles containing Chinese-language text', 'Category:Articles containing Japanese-language text', 'Category:Articles containing Korean-language text', 'Category:Articles needing additional references from June 2016', 'Category:Articles with Arabic-language external links', 'Category:Articles with Chinese-language external links', 'Category:Articles with short description', 'Category:CS1: long volume value', 'Category:Chinese drinks', 'Category:Chinese inventions', 'Category:Commons category link from Wikidata', 'Category:Hong Kong drinks', 'Category:Japanese drinks', 'Category:Korean drinks', 'Category:Milk substitutes', 'Category:Plant milk', 'Category:Soy-based foods', 'Category:Taiwanese drinks', 'Category:Vegan cuisine', 'Category:Webarchive template wayback links', 'Category:Wikipedia articles with GND identifiers', 'Category:Wikipedia articles with LCCN identifiers', 'Category:Wikipedia articles with NDL identifiers']
Soybean;"['Category:All articles with unsourced statements', 'Category:Articles containing Chinese-language text', 'Category:Articles containing Japanese-language text', 'Category:Articles containing Korean-language text', ""Category:Articles with 'species' microformats"", 'Category:Articles with short description', 'Category:Articles with unsourced statements from November 2015', 'Category:Articles with unsourced statements from October 2013', 'Category:CS1 Indonesian-language sources (id)', 'Category:CS1 maint: Archived copy as title', 'Category:CS1 maint: BOT: original-url status unknown', 'Category:CS1 maint: Multiple names: authors list', 'Category:CS1: long volume value', 'Category:Chinese cuisine', 'Category:Commons category link is locally defined', 'Category:Commons category link is on Wikidata', 'Category:Commons category link is on Wikidata using P373', 'Category:Crops', 'Category:Crops originating from China', 'Category:Edible legumes', 'Category:Energy crops', 'Category:Faboideae', 'Category:Fiber plants', 'Category:Fodder', 'Category:Interlanguage link template link number', 'Category:Japanese cuisine', 'Category:Korean cuisine', 'Category:Nitrogen-fixing crops', 'Category:Pages using div col with small parameter', 'Category:Pages with duplicate reference names', 'Category:Pages with reference errors', 'Category:Phaseoleae', 'Category:Portal templates with redlinked portals', 'Category:Soy products', 'Category:Soybeans Soybeans Soybeans Soybeans Soybeans Soybeans', 'Category:Taxonbars with 25–29 taxon IDs', 'Category:Taxonbars with automatically added basionyms', 'Category:Use mdy dates from May 2012', 'Category:Wikipedia articles needing page number citations from June 2018', 'Category:Wikipedia articles with GND identifiers']"
Space Needle;"['Category:1961 establishments in Washington (state)', 'Category:All articles needing additional references', 'Category:Articles needing additional references from March 2016', 'Category:Buildings and structures in Seattle', 'Category:CS1 maint: Archived copy as title', 'Category:Century 21 Exposition', 'Category:Commons category link is on Wikidata', 'Category:Coordinates on Wikidata', 'Category:Emporis template using building ID', 'Category:Googie architecture', 'Category:Infobox mapframe without OSM relation ID on Wikidata', 'Category:Landmarks in Seattle', 'Category:M w', 'Category:Observation towers in the United States', 'Category:Pages using the Kartographer extension', 'Category:Seattle Center', 'Category:Tourist attractions in Seattle', 'Category:Towers completed in 1961', 'Category:Towers in Washington (state)', 'Category:Towers with revolving restaurants', 'Category:Use mdy dates from August 2018', 'Category:Wikipedia articles with LCCN identifiers', ""Category:World's fair architecture in Seattle""]"
Spam (food);['Category:All articles with dead external links', 'Category:All articles with unsourced statements', 'Category:American brands', 'Category:Articles containing Hebrew-language text', 'Category:Articles containing Korean-language text', 'Category:Articles with dead external links from April 2018', 'Category:Articles with permanently dead external links', 'Category:Articles with short description', 'Category:Articles with unsourced statements from October 2017', 'Category:Brand name meats', 'Category:Commons category link from Wikidata', 'Category:Hawaiian cuisine', 'Category:Hormel brands', 'Category:Pork', 'Category:Products introduced in 1937', 'Category:Spam (food)', 'Category:Use mdy dates from July 2018', 'Category:Webarchive template wayback links']
Spanish wine;['Category:All articles containing potentially dated statements', 'Category:All articles with unsourced statements', 'Category:Articles containing Spanish-language text', 'Category:Articles containing potentially dated statements from 2013', 'Category:Articles with unsourced statements from November 2018', 'Category:Spanish wine']
Sparkling wine;['Category:All articles lacking in-text citations', 'Category:All articles with specifically marked weasel-worded phrases', 'Category:All articles with unsourced statements', 'Category:Articles lacking in-text citations from October 2016', 'Category:Articles with Hungarian-language external links', 'Category:Articles with specifically marked weasel-worded phrases from August 2015', 'Category:Articles with unsourced statements from February 2018', 'Category:Articles with unsourced statements from May 2019', 'Category:CS1 maint: Archived copy as title', 'Category:Commons category link from Wikidata', 'Category:Sparkling wines', 'Category:Use dmy dates from January 2015', 'Category:Webarchive template wayback links', 'Category:Wikipedia articles with BNF identifiers', 'Category:Wikipedia articles with GND identifiers', 'Category:Wikipedia articles with NDL identifiers', 'Category:Wine terminology']
Sparkling wine production;['Category:Articles containing French-language text', 'Category:Articles containing Italian-language text', 'Category:CS1 Russian-language sources (ru)', 'Category:Commons category link is on Wikidata', 'Category:Sparkling wines', 'Category:Use dmy dates from August 2011', 'Category:Winemaking']
Spice trade;['Category:Age of Discovery', 'Category:Age of Sail', 'Category:Aksumite Empire', 'Category:All articles with failed verification', 'Category:All articles with unsourced statements', 'Category:Ancient Somalia', 'Category:Articles with failed verification from March 2012', 'Category:Articles with unsourced statements from January 2011', 'Category:CS1 maint: Archived copy as title', 'Category:Commodity markets in Kerala', 'Category:Commons category link is on Wikidata', 'Category:Economic history of India', 'Category:Economic history of Portugal', 'Category:Economic history of Spain', 'Category:History of Kerala', 'Category:History of international trade', 'Category:Interlanguage link template link number', 'Category:Maluku Islands', 'Category:Medieval economics', 'Category:Portuguese Empire', 'Category:Portuguese exploration in the Age of Discovery', 'Category:Spanish Empire', 'Category:Spices', 'Category:Trade by commodity', 'Category:Trade routes', 'Category:Webarchive template wayback links']
Spinach;"['Category:All articles with unsourced statements', 'Category:Amaranthaceae', ""Category:Articles with 'species' microformats"", 'Category:Articles with unsourced statements from May 2019', 'Category:CS1 maint: Uses authors parameter', 'Category:Commons category link is on Wikidata', 'Category:Commons category link is on Wikidata using P373', 'Category:Flora of Nepal', 'Category:Leaf vegetables', 'Category:Plants described in 1753', 'Category:Taxonbars with 20–24 taxon IDs', 'Category:Wikipedia articles incorporating a citation from the 1911 Encyclopaedia Britannica with Wikisource reference', 'Category:Wikipedia articles with LCCN identifiers']"
Squab;['Category:All articles with dead external links', 'Category:All articles with unsourced statements', 'Category:American cuisine', 'Category:Articles with dead external links from May 2018', 'Category:Articles with permanently dead external links', 'Category:Articles with unsourced statements from April 2016', 'Category:Chinese New Year foods', 'Category:Chinese cuisine', 'Category:Commons category link is on Wikidata', 'Category:Domestic pigeons', 'Category:French cuisine', 'Category:Indonesian cuisine', 'Category:Italian cuisine', 'Category:Meat by animal', 'Category:Poultry', 'Category:Scandinavian cuisine', 'Category:Spanish cuisine', 'Category:Vague or ambiguous geographic scope from July 2011', 'Category:Webarchive template wayback links', 'Category:Wikipedia articles needing page number citations from July 2011']
Squat lobster;['Category:Anomura', 'Category:CS1 maint: Multiple names: authors list', 'Category:CS1: long volume value', 'Category:Commercial crustaceans', 'Category:Commons category link is locally defined', 'Category:Edible crustaceans', 'Category:Squat lobsters']
Starbucks;['Category:1971 establishments in Washington (state)', 'Category:All articles containing potentially dated statements', 'Category:All articles with dead external links', 'Category:All articles with failed verification', 'Category:All articles with specifically marked weasel-worded phrases', 'Category:All articles with unsourced statements', 'Category:All articles with vague or ambiguous time', 'Category:All pages needing cleanup', 'Category:American companies established in 1971', 'Category:Articles containing potentially dated statements from 2006', 'Category:Articles containing potentially dated statements from April 2012', 'Category:Articles containing potentially dated statements from January 2015', 'Category:Articles containing potentially dated statements from November 2012', 'Category:Articles needing cleanup from February 2013', 'Category:Articles with dead external links from July 2011', 'Category:Articles with dead external links from July 2012', 'Category:Articles with failed verification from October 2012', 'Category:Articles with incomplete citations from June 2013', 'Category:Articles with short description', 'Category:Articles with specifically marked weasel-worded phrases from May 2013', 'Category:Articles with unsourced statements from August 2018', 'Category:Articles with unsourced statements from March 2019', 'Category:CS1 Finnish-language sources (fi)', 'Category:CS1 Italian-language sources (it)', 'Category:CS1 Serbian-language sources (sr)', 'Category:CS1 maint: Archived copy as title', 'Category:CS1 maint: BOT: original-url status unknown', 'Category:CS1: long volume value', 'Category:Coffee brands', 'Category:Coffee houses of the United States', 'Category:Coffee in Seattle', 'Category:Companies based in Seattle', 'Category:Companies in the NASDAQ-100 Index', 'Category:Companies listed on NASDAQ', 'Category:Culture of Seattle', 'Category:Fast-food chains of the United States', 'Category:Food and drink companies established in 1971', 'Category:Official website different in Wikidata and Wikipedia', 'Category:Portal templates with all redlinked portals', 'Category:Retail companies established in 1971', 'Category:Starbucks', 'Category:Vague or ambiguous time from July 2012', 'Category:Vague or ambiguous time from July 2017', 'Category:Webarchive template wayback links', 'Category:Wikipedia articles with GND identifiers', 'Category:Wikipedia articles with ISNI identifiers', 'Category:Wikipedia articles with LCCN identifiers', 'Category:Wikipedia articles with MusicBrainz label identifiers', 'Category:Wikipedia articles with NDL identifiers', 'Category:Wikipedia articles with NKC identifiers', 'Category:Wikipedia articles with VIAF identifiers', 'Category:Wikipedia articles with WorldCat-VIAF identifiers']
Steel and tin cans;['Category:1810 introductions', 'Category:All articles with unsourced statements', 'Category:Articles with unsourced statements from December 2013', 'Category:Articles with unsourced statements from May 2015', 'Category:Articles with unsourced statements from May 2019', 'Category:British inventions', 'Category:Commons category link is on Wikidata', 'Category:Commons category link is on Wikidata using P373', 'Category:Containers', 'Category:Food packaging', 'Category:Food storage containers', 'Category:Packaging', 'Category:Steel', 'Category:Webarchive template wayback links', 'Category:Wikipedia articles needing clarification from May 2018', 'Category:Wikipedia articles with GND identifiers']
Stir frying;['Category:Articles containing Chinese-language text', 'Category:Articles containing simplified Chinese-language text', 'Category:Articles containing traditional Chinese-language text', 'Category:CS1 Chinese-language sources (zh)', 'Category:CS1 French-language sources (fr)', 'Category:Chinese cooking techniques', 'Category:Chinese cuisine', 'Category:Chinese inventions', 'Category:Cooking techniques', 'Category:Culinary terminology', 'Category:Fried foods', 'Category:Pages using template Zh with sup tags', 'Category:Use dmy dates from October 2015']
Stockfish;['Category:All articles with unsourced statements', 'Category:Articles containing Portuguese-language text', 'Category:Articles with unsourced statements from April 2018', 'Category:Articles with unsourced statements from December 2009', 'Category:Articles with unsourced statements from December 2011', 'Category:Articles with unsourced statements from March 2013', 'Category:CS1 maint: Multiple names: authors list', 'Category:Commons category link is on Wikidata', 'Category:Dried fish', 'Category:Fish processing', 'Category:Snack foods']
Stove;['Category:All articles with dead external links', 'Category:Articles with dead external links from June 2018', 'Category:Articles with dead external links from May 2018', 'Category:Articles with dead external links from September 2018', 'Category:Articles with permanently dead external links', 'Category:Cooking appliances', 'Category:Heating, ventilating, and air conditioning', 'Category:Stoves', 'Category:Webarchive template wayback links', 'Category:Wikipedia articles with GND identifiers', 'Category:Wikipedia articles with NDL identifiers']
Strawberry;"['Category:All articles with unsourced statements', 'Category:Articles containing video clips', ""Category:Articles with 'species' microformats"", 'Category:Articles with short description', 'Category:Articles with unsourced statements from May 2013', 'Category:Crops', 'Category:Fragaria', 'Category:Hybrid fruit', 'Category:Pages using deprecated image syntax', 'Category:Portal templates with redlinked portals', 'Category:Strawberries', 'Category:Symbols of Delaware', 'Category:Taxonbars with 20–24 taxon IDs', 'Category:Use dmy dates from July 2014', 'Category:Wikipedia articles incorporating a citation from The American Cyclopaedia', 'Category:Wikipedia articles incorporating a citation from The American Cyclopaedia with a Wikisource reference', 'Category:Wikipedia articles incorporating a citation from the 1911 Encyclopaedia Britannica with Wikisource reference', 'Category:Wikipedia pages semi-protected against vandalism']"
Stuart O'Keeffe;['Category:1981 births', 'Category:All articles with a promotional tone', 'Category:American television personalities', 'Category:Articles with a promotional tone from July 2017', 'Category:Articles with hCards', 'Category:EngvarB from December 2017', 'Category:Food writers', 'Category:Irish television chefs', 'Category:Irish television personalities', 'Category:Living people', 'Category:Use dmy dates from December 2017']
Sucralose;['Category:All Wikipedia articles written in American English', 'Category:Articles containing unverified chemical infoboxes', 'Category:CS1 maint: Uses authors parameter', 'Category:CS1: long volume value', 'Category:Commons category link from Wikidata', 'Category:Disaccharides', 'Category:E number from Wikidata', 'Category:E-number additives', 'Category:ECHA InfoCard ID from Wikidata', 'Category:Food additives', 'Category:Organochlorides', 'Category:Sugar substitutes', 'Category:Use American English from December 2017', 'Category:Use dmy dates from December 2017']
Sucrose;['Category:All articles containing potentially dated statements', 'Category:All articles with unsourced statements', 'Category:Articles containing potentially dated statements from 2003', 'Category:Articles containing potentially dated statements from 2007', 'Category:Articles containing unverified chemical infoboxes', 'Category:Articles with unsourced statements from November 2007', 'Category:Articles without KEGG source', 'Category:CS1 maint: BOT: original-url status unknown', 'Category:Commons category link is on Wikidata', 'Category:Disaccharides', 'Category:ECHA InfoCard ID from Wikidata', 'Category:Sugar', 'Category:Sugar substitutes', 'Category:Webarchive template archiveis links', 'Category:Webarchive template wayback links', 'Category:Wikipedia articles needing clarification from August 2015', 'Category:Wikipedia articles needing clarification from February 2010', 'Category:Wikipedia articles with GND identifiers']
Sugarcane;['Category:All articles with dead external links', 'Category:All articles with unsourced statements', 'Category:Articles containing video clips', 'Category:Articles with dead external links from April 2018', 'Category:Articles with permanently dead external links', 'Category:Articles with unsourced statements from February 2007', 'Category:Articles with unsourced statements from June 2017', 'Category:Articles with unsourced statements from June 2018', 'Category:Articles with unsourced statements from November 2009', 'Category:Articles with unsourced statements from October 2013', 'Category:CS1 maint: Date format', 'Category:Commons category link is on Wikidata', 'Category:Crops', 'Category:Crops originating from Asia', 'Category:Energy crops', 'Category:Ethanol fuel', 'Category:Flora of tropical Asia', 'Category:Pages using deprecated image syntax', 'Category:Plant common names', 'Category:Saccharum', 'Category:Sugar', 'Category:Tropical agriculture', 'Category:Webarchive template wayback links']
Syrah;"['Category:All articles with unsourced statements', ""Category:Articles with 'species' microformats"", 'Category:Articles with short description', 'Category:Articles with unsourced statements from March 2013', 'Category:CS1 French-language sources (fr)', 'Category:CS1 Spanish-language sources (es)', 'Category:Red wine grape varieties', 'Category:Webarchive template wayback links']"
Tabasco sauce;['Category:Acadiana', 'Category:Brand name condiments', 'Category:British Royal Warrant holders', 'Category:CS1 maint: Multiple names: authors list', 'Category:Cajun cuisine', 'Category:Commons category link from Wikidata', 'Category:Hot sauces', 'Category:Iberia Parish, Louisiana', 'Category:McIlhenny family', 'Category:Military food of the United States', 'Category:Portal templates with redlinked portals', 'Category:Products introduced in 1868', 'Category:Tourist attractions in Iberia Parish, Louisiana', 'Category:Use dmy dates from July 2012', 'Category:Webarchive template wayback links']
Taco Bell;['Category:1962 establishments in California', 'Category:All Wikipedia articles in need of updating', 'Category:All articles containing potentially dated statements', 'Category:All articles with dead external links', 'Category:All articles with unsourced statements', 'Category:Articles containing potentially dated statements from 2018', 'Category:Articles with dead external links from June 2017', 'Category:Articles with permanently dead external links', 'Category:Articles with unsourced statements from February 2016', 'Category:CS1 Dutch-language sources (nl)', 'Category:CS1 Finnish-language sources (fi)', 'Category:CS1 Greek-language sources (el)', 'Category:CS1 Spanish-language sources (es)', 'Category:CS1 maint: Archived copy as title', 'Category:Commons category link from Wikidata', 'Category:Companies based in Irvine, California', 'Category:Fast-food Mexican restaurants', 'Category:Fast-food chains of Canada', 'Category:Fast-food chains of the United States', 'Category:Fast-food franchises', 'Category:Interlanguage link template link number', 'Category:Official website different in Wikidata and Wikipedia', 'Category:Restaurants established in 1962', 'Category:Restaurants in Orange County, California', 'Category:Restaurants in the Greater Los Angeles Area', 'Category:Taco Bell', 'Category:Use mdy dates from January 2019', 'Category:Webarchive template wayback links', 'Category:Wikipedia articles in need of updating from July 2013', 'Category:Wikipedia articles in need of updating from March 2015', 'Category:Wikipedia indefinitely move-protected pages', 'Category:Wikipedia pages semi-protected against vandalism', 'Category:Yum! Brands']
Taiwanese cuisine;['Category:All articles needing additional references', 'Category:Articles containing Chinese-language text', 'Category:Articles containing traditional Chinese-language text', 'Category:Articles needing additional references from August 2016', 'Category:Articles needing additional references from January 2010', 'Category:Interlanguage link template link number', 'Category:Portal templates with redlinked portals', 'Category:Region topic template using suffix', 'Category:Regional cuisines of China', 'Category:Taiwanese cuisine', 'Category:Use dmy dates from July 2011']
Tamarind;"['Category:All articles with unsourced statements', 'Category:Articles containing Arabic-language text', ""Category:Articles with 'species' microformats"", 'Category:Articles with short description', 'Category:Articles with unsourced statements from February 2015', 'Category:Articles with unsourced statements from January 2019', 'Category:CS1 maint: Uses editors parameter', 'Category:Commons category link is on Wikidata', 'Category:Commons category link is on Wikidata using P373', 'Category:Detarioideae', 'Category:Edible fruits', 'Category:Edible legumes', 'Category:Flora naturalised in Australia', 'Category:Flora of Africa', 'Category:Flora of Madagascar', 'Category:Fruits originating in Africa', 'Category:Indian spices', 'Category:Medicinal plants', 'Category:Monotypic Fabaceae genera', 'Category:Non-timber forest products', 'Category:Plants described in 1753', 'Category:Spices', 'Category:Taxonbars with 20–24 taxon IDs', 'Category:Trees of the Arabian Peninsula', 'Category:Tropical fruit', 'Category:Use mdy dates from July 2014', 'Category:Wikipedia articles incorporating a citation from the 1911 Encyclopaedia Britannica with Wikisource reference', 'Category:Wikipedia articles incorporating citation to the NSRW', 'Category:Wikipedia articles incorporating citation to the NSRW with an wstitle parameter']"
Taste;['Category:All articles needing additional references', 'Category:All articles with specifically marked weasel-worded phrases', 'Category:All articles with unsourced statements', 'Category:Articles containing Japanese-language text', 'Category:Articles needing additional references from September 2016', 'Category:Articles with inconsistent citation formats', 'Category:Articles with short description', 'Category:Articles with specifically marked weasel-worded phrases from September 2016', 'Category:Articles with unsourced statements from April 2016', 'Category:Articles with unsourced statements from August 2014', 'Category:Articles with unsourced statements from March 2016', 'Category:Articles with unsourced statements from November 2008', 'Category:Articles with unsourced statements from October 2010', 'Category:Articles with unsourced statements from September 2010', 'Category:Articles with unsourced statements from September 2016', 'Category:CS1 maint: Multiple names: authors list', 'Category:CS1: long volume value', 'Category:Commons category link is on Wikidata', 'Category:Gustation', 'Category:Gustatory system', 'Category:Sensory systems', 'Category:Use dmy dates from December 2017', 'Category:Webarchive template wayback links', 'Category:Wikipedia articles needing page number citations from August 2014', 'Category:Wikipedia articles with GND identifiers', 'Category:Wikipedia articles with NDL identifiers']
Tea;['Category:All articles lacking reliable references', 'Category:All articles needing additional references', 'Category:All articles with unsourced statements', 'Category:All articles with vague or ambiguous time', 'Category:All pages needing cleanup', 'Category:Articles containing how-to sections', 'Category:Articles lacking reliable references from May 2019', 'Category:Articles needing additional references from October 2012', 'Category:Articles needing cleanup from April 2016', 'Category:Articles with Curlie links', 'Category:Articles with hProducts', 'Category:Articles with hRecipes', 'Category:Articles with inconsistent citation formats', 'Category:Articles with short description', 'Category:Articles with unsourced statements from December 2014', 'Category:Articles with unsourced statements from December 2018', 'Category:Articles with unsourced statements from March 2010', 'Category:Articles with unsourced statements from November 2007', 'Category:Articles with unsourced statements from November 2018', 'Category:Articles with unsourced statements from October 2012', 'Category:CS1: long volume value', 'Category:Chinese cuisine', 'Category:Crops originating from China', 'Category:Herbal and fungal stimulants', 'Category:Portal templates with redlinked portals', 'Category:Tea', 'Category:Use British English from January 2014', 'Category:Use dmy dates from November 2016', 'Category:Vague or ambiguous time from May 2019', 'Category:Victorian cuisine', 'Category:Wikipedia articles with GND identifiers', 'Category:Wikipedia articles with LCCN identifiers', 'Category:Wikipedia articles with NARA identifiers', 'Category:Wikipedia articles with NDL identifiers', 'Category:Wikipedia indefinitely move-protected pages']
Tempeh;['Category:Articles containing Javanese-language text', 'Category:Articles with short description', 'Category:CS1 Indonesian-language sources (id)', 'Category:CS1 maint: Extra text: authors list', 'Category:Commons category link from Wikidata', 'Category:Fermented soy-based foods', 'Category:Indonesian cuisine', 'Category:Javanese culture', 'Category:Meat substitutes', 'Category:Soy-based foods', 'Category:Vegan cuisine', 'Category:Vegetarian cuisine', 'Category:Vegetarian dishes of Indonesia', 'Category:Wikipedia articles with GND identifiers']
Tempranillo;"['Category:All articles lacking reliable references', 'Category:All articles with unsourced statements', 'Category:Articles lacking reliable references from May 2012', ""Category:Articles with 'species' microformats"", 'Category:Articles with unsourced statements from May 2012', 'Category:CS1 Spanish-language sources (es)', 'Category:Portuguese wine', 'Category:Red wine grape varieties', 'Category:Spanish wine']"
Tempura;['Category:All articles with unsourced statements', 'Category:Articles containing Chinese-language text', 'Category:Articles containing Japanese-language text', 'Category:Articles containing explicitly cited English-language text', 'Category:Articles with unsourced statements from January 2010', 'Category:Articles with unsourced statements from June 2018', 'Category:CS1 Portuguese-language sources (pt)', 'Category:Chinese cuisine', 'Category:Commons category link from Wikidata', 'Category:Cuisine of the Western United States', 'Category:Deep fried foods', 'Category:Easter food', 'Category:Japanese cuisine terms', 'Category:Japanese fusion cuisine', 'Category:Portuguese fusion cuisine', 'Category:Taiwanese cuisine', 'Category:Wikipedia articles with NDL identifiers']
Tequila Sunrise (cocktail);['Category:Articles with hRecipes', 'Category:CS1 maint: Archived copy as title', 'Category:Cocktails with tequila', 'Category:Commons category link is on Wikidata']
